date,USD,JPY,BGN,CYP,CZK,DKK,EEK,GBP,HUF,LTL,LVL,MTL,PLN,ROL,RON,SEK,SIT,SKK,CHF,ISK,NOK,HRK,RUB,TRL,TRY,AUD,BRL,CAD,CNY,HKD,IDR,ILS,INR,KRW,MXN,MYR,NZD,PHP,SGD,THB,ZAR
2025-08-29,1.1658,171.72,1.9558,N/A,24.458,7.4642,N/A,0.8668,396.9,N/A,N/A,N/A,4.2665,N/A,5.0728,11.055,N/A,N/A,0.9364,143,11.7465,N/A,N/A,N/A,47.9536,1.7865,6.3253,1.6031,8.3155,9.0877,19207.37,3.8953,102.8035,1622.26,21.7935,4.9255,1.9811,66.687,1.4987,37.76,20.6758
2025-08-28,1.1676,171.48,1.9558,N/A,24.557,7.4648,N/A,0.8637,396.63,N/A,N/A,N/A,4.2618,N/A,5.0683,11.0735,N/A,N/A,0.9353,143,11.748,N/A,N/A,N/A,47.9206,1.788,6.3147,1.6062,8.3266,9.1008,19057.22,3.8855,102.2535,1618.06,21.7283,4.9238,1.9871,66.535,1.498,37.754,20.5817
2025-08-27,1.1593,171.63,1.9558,N/A,24.542,7.4647,N/A,0.8626,396.85,N/A,N/A,N/A,4.2698,N/A,5.0666,11.116,N/A,N/A,0.935,143,11.786,N/A,N/A,N/A,47.5745,1.7916,6.3051,1.6056,8.3027,9.0229,19038.95,3.8757,101.739,1620.49,21.7128,4.9096,1.9894,66.375,1.4943,37.648,20.5917
2025-08-26,1.1656,171.77,1.9558,N/A,24.544,7.4643,N/A,0.8642,396.88,N/A,N/A,N/A,4.2608,N/A,5.0578,11.1565,N/A,N/A,0.9376,143.2,11.836,N/A,N/A,N/A,47.8202,1.7956,6.2992,1.6137,8.3427,9.0921,19014.67,3.923,102.127,1625.27,21.7269,4.9136,1.9903,66.395,1.4977,37.824,20.5608
2025-08-25,1.1697,172.36,1.9558,N/A,24.544,7.464,N/A,0.8659,397.4,N/A,N/A,N/A,4.2616,N/A,5.0539,11.1345,N/A,N/A,0.9385,143.4,11.8085,N/A,N/A,N/A,47.9475,1.8005,6.3504,1.6171,8.3709,9.1369,19001.6,3.9545,102.4185,1622.7,21.8024,4.9215,1.9928,66.273,1.5009,37.939,20.5342
2025-08-22,1.1608,172.6,1.9558,N/A,24.565,7.4646,N/A,0.8653,395.83,N/A,N/A,N/A,4.2628,N/A,5.0533,11.1775,N/A,N/A,0.9383,143.4,11.8325,N/A,N/A,N/A,47.461,1.8068,6.3462,1.6151,8.3333,9.075,19006.77,3.9458,101.613,1614.06,21.732,4.9073,1.9978,66.091,1.4956,37.889,20.4635
2025-08-21,1.1639,172.09,1.9558,N/A,24.53,7.4641,N/A,0.8654,395.75,N/A,N/A,N/A,4.2518,N/A,5.0554,11.164,N/A,N/A,0.9389,143.4,11.8505,N/A,N/A,N/A,47.6441,1.8118,6.3851,1.6164,8.3547,9.0943,18991.18,3.9801,101.566,1627.94,21.832,4.9169,1.9986,66.451,1.4983,37.984,20.604
2025-08-20,1.1651,171.77,1.9558,N/A,24.491,7.4649,N/A,0.8645,394.5,N/A,N/A,N/A,4.2483,N/A,5.0585,11.177,N/A,N/A,0.9403,143.4,11.9505,N/A,N/A,N/A,47.6535,1.8094,6.3888,1.6156,8.3609,9.1038,18969.63,3.9629,101.4305,1629.72,21.8735,4.9237,1.9983,66.44,1.4974,37.924,20.6249
2025-08-19,1.1682,172.67,1.9558,N/A,24.457,7.4646,N/A,0.864,393.7,N/A,N/A,N/A,4.2448,N/A,5.0579,11.158,N/A,N/A,0.9409,143.4,11.928,N/A,N/A,N/A,47.732,1.7994,6.3563,1.6133,8.3866,9.1137,18989.62,3.9493,101.7358,1622.4,21.9599,4.9339,1.9713,66.76,1.4989,37.972,20.5788
2025-08-18,1.1673,172.27,1.9558,N/A,24.471,7.4639,N/A,0.8621,395.55,N/A,N/A,N/A,4.25,N/A,5.0599,11.157,N/A,N/A,0.9423,143,11.884,N/A,N/A,N/A,47.7015,1.7931,6.3128,1.6098,8.3798,9.1256,18934.19,3.9582,101.9985,1618.17,21.9597,4.9289,1.9665,66.522,1.4972,37.908,20.5604
